nucleo,line_id,origen_nombre,destino_nombre,llegada_teorica_utc,consultado_en_utc,horizonte_min,regime,degradado,retraso_predicho_s,retraso_real_s,error_retraso_s,llegada_estimada_utc,llegada_real_utc,error_llegada_s,via,estado
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T15:52:37Z,57.4,B,,350.2,1020.0,-669.8,2026-09-15T16:55:50Z,2026-09-15T17:07:00Z,-670.0,parada,ok
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T15:57:38Z,52.4,B,,326.1,1020.0,-693.9,2026-09-15T16:55:26Z,2026-09-15T17:07:00Z,-694.0,parada,ok
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T16:02:38Z,47.4,A,,201.2,1020.0,-818.8,2026-09-15T16:53:21Z,2026-09-15T17:07:00Z,-819.0,parada,ok
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T16:07:39Z,42.4,A,,305.9,1020.0,-714.1,2026-09-15T16:55:05Z,2026-09-15T17:07:00Z,-715.0,parada,ok
21248C10,C10,Madrid-Atocha Cercanías,Pinar de las Rozas,2026-09-15T16:50:00Z,2026-09-15T16:12:39Z,37.4,A,,592.4,1020.0,-427.6,2026-09-15T16:59:52Z,2026-09-15T17:07:00Z,-428.0,parada,ok
21152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T16:54:00Z,2026-09-15T15:42:31Z,71.5,B,,316.0,420.0,-104.0,2026-09-15T16:59:16Z,2026-09-15T17:01:00Z,-104.0,parada,ok
21152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T16:54:00Z,2026-09-15T15:47:37Z,66.4,B,,317.9,420.0,-102.1,2026-09-15T16:59:17Z,2026-09-15T17:01:00Z,-103.0,parada,ok
21152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T16:54:00Z,2026-09-15T15:52:37Z,61.4,B,,321.2,420.0,-98.8,2026-09-15T16:59:21Z,2026-09-15T17:01:00Z,-99.0,parada,ok
21152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T16:54:00Z,2026-09-15T15:57:38Z,56.4,B,,315.7,420.0,-104.3,2026-09-15T16:59:15Z,2026-09-15T17:01:00Z,-105.0,parada,ok
21152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T16:54:00Z,2026-09-15T16:02:38Z,51.4,B,,320.9,420.0,-99.1,2026-09-15T16:59:20Z,2026-09-15T17:01:00Z,-100.0,parada,ok
21152C10,C10,Villalba de Guadarrama,Pirámides,2026-09-15T16:54:00Z,2026-09-15T16:07:39Z,46.4,B,,319.6,420.0,-100.4,2026-09-15T16:59:19Z,2026-09-15T17:01:00Z,-101.0,parada,ok
20302C4a,C4a,Alcobendas-San Sebastián de los Reyes,Parla,2026-09-15T17:04:00Z,2026-09-15T15:42:31Z,81.5,B,,383.6,900.0,-516.4,2026-09-15T17:10:23Z,2026-09-15T17:19:00Z,-517.0,delay_tren,ok
